R0000100,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012
1,12,-5,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
3,10,10,-5,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,-5,12,12,-5,12
4,9,-5,9,9,9,13,13,14,14,14,14,14,-5,14,14,-5,14,14,-5,-5,-5,-5,-5,-5,-5
5,13,14,15,16,17,18,-5,18,-5,18,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,-5,16,16,16,16,16,16,16
7,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-5
8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14
9,9,10,11,12,12,12,12,13,13,13,13,14,14,13,14,14,14,14,14,14,14,14,14,14,14
10,9,9,9,9,9,9,9,-5,-5,9,-5,9,9,9,9,9,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,13,-5,15,16,16,16,16,-5,-5,-5,16,16,16,16,16,16,16,16,16,16,16,-5,-5,-5,-5
12,13,14,15,16,16,16,16,-5,-5,-5,-5,-5,-5,-5,16,16,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,14,15,15,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,-5,-5,-5
14,9,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,17,17,19,19,19,19,19,19,19
15,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,12,12,12,12,12,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13
