R0000100,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1996,1998,2000
1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,337,337,23,386,23,23,337,389,23,337,23,337,-4,-4,-4,-4
3,383,-4,-4,383,-4,447,468,155,468,373,188,243,-4,-4,243,19
4,274,-4,-4,-4,313,313,313,313,313,-5,313,313,-5,313,178,-5
5,355,223,223,-5,178,-5,178,178,-5,-5,-5,-5,-5,-5,-5,-5
6,335,389,223,203,203,235,223,223,208,386,203,235,235,83,-5,19
7,514,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,889,364,749,749,749
8,444,444,444,-3,444,319,389,389,389,389,339,389,25,25,234,234
9,885,505,505,505,337,19,19,243,19,503,19,19,503,19,505,505
10,446,405,444,444,-5,-5,447,-5,276,97,446,446,447,-5,-5,-5
11,389,389,19,376,-5,-5,-5,259,274,259,256,257,257,277,259,19
12,23,23,23,7,-5,-5,-5,-5,-5,-5,-5,7,7,-5,-5,-5
13,453,453,558,19,19,19,19,448,19,448,19,448,448,448,19,19
14,406,459,424,313,307,23,337,23,23,23,23,23,877,23,23,23
15,-4,486,588,365,365,366,19,-4,-4,259,274,259,259,259,263,-4
16,313,313,223,313,178,313,313,313,313,313,313,313,313,313,313,313
17,243,19,33,869,869,558,558,567,653,567,567,889,567,567,558,13
18,243,274,274,274,274,274,274,274,274,525,274,274,259,274,13,19
19,313,-5,-4,-4,313,313,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5
20,217,217,217,217,217,185,44,57,44,217,217,217,217,217,57,217
21,435,319,276,313,13,13,19,256,13,13,19,19,633,13,166,13
22,276,404,438,225,274,313,37,197,313,313,313,379,19,389,277,19
23,888,-4,-5,-5,-5,-5,-5,-5,-5,25,166,-5,-5,-5,-5,-5
24,769,769,-5,159,806,547,889,806,806,-5,806,806,805,805,805,-5
25,445,678,208,445,445,445,445,445,445,445,445,446,446,445,445,445
26,276,274,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5
27,23,23,7,229,7,-4,-4,-4,-4,-4,-4,277,277,159,19,337
28,274,435,315,308,7,23,337,19,303,435,435,434,434,434,327,327
29,383,383,7,7,7,7,19,383,7,25,19,7,7,7,7,7
30,313,-5,313,313,389,315,337,-4,-4,-4,-4,-4,-4,-4,-4,-4
31,-4,364,-4,505,689,785,889,356,523,523,523,523,523,-5,523,523
32,313,274,243,274,274,29,37,243,-5,-5,19,243,243,19,-5,-5
33,-5,-5,-5,-5,-5,-5,-5,-5,-5,877,389,889,888,999,-5,-5
34,514,505,514,514,514,514,14,759,514,514,503,514,375,505,514,19
35,-4,-4,389,385,385,363,796,29,796,888,746,796,796,468,14,-5
36,745,558,777,869,-5,584,573,243,243,243,243,243,-3,554,19,19
37,313,313,389,313,313,313,13,313,313,-4,-4,-4,-4,-4,313,313
38,383,383,383,319,319,23,338,338,338,338,338,338,338,5,305,305
39,437,437,437,433,433,433,19,19,19,433,433,19,19,13,27,19
40,777,637,637,-4,777,889,637,633,637,-4,-4,-4,27,27,27,27
41,424,424,424,449,254,254,269,269,19,243,19,243,19,19,-5,243
42,889,438,453,453,-4,-4,-4,849,567,567,877,883,883,889,549,549
43,435,435,435,435,435,435,276,276,276,435,796,-4,-4,276,276,439
44,375,-4,274,-4,-4,-4,-4,-4,-4,276,387,387,-5,387,-4,-4
45,805,804,804,804,359,359,359,359,359,19,567,869,19,-5,-5,-5
46,313,-4,-4,203,208,203,208,203,203,203,95,95,75,95,95,95
47,637,634,637,769,684,637,689,549,19,637,637,703,703,637,637,508
48,577,5,-5,-5,-5,-5,-5,213,-5,213,-4,-4,-4,-5,-5,-5
49,337,337,337,337,337,337,337,337,337,337,337,337,337,19,19,19
