Identifier,Age,Schooling,Choice,Wage
93,23.0,12.0,blue_collar,10727.09710218607
106,16.0,10.0,schooling,
106,17.0,11.0,schooling,
106,18.0,12.0,schooling,
106,19.0,13.0,schooling,
106,20.0,14.0,schooling,
106,21.0,15.0,home,
106,22.0,15.0,schooling,
106,23.0,16.0,white_collar,22898.156764931657
106,24.0,16.0,white_collar,23465.07597423357
106,25.0,16.0,white_collar,26370.372441822827
106,26.0,16.0,white_collar,28189.009659379764
107,16.0,10.0,schooling,
107,17.0,11.0,schooling,
107,18.0,12.0,white_collar,7128.3954390020735
107,19.0,12.0,schooling,
107,20.0,13.0,schooling,
107,21.0,14.0,white_collar,6098.178195732346
107,22.0,14.0,schooling,
107,23.0,15.0,schooling,
107,24.0,16.0,white_collar,16967.35695988043
107,25.0,16.0,white_collar,18040.18437552957
113,16.0,9.0,schooling,
113,17.0,10.0,schooling,
113,18.0,11.0,military,7759.912214990615
113,19.0,11.0,military,8000.317798509726
113,20.0,11.0,military,9017.251514945574
113,21.0,11.0,military,12137.909818782771
113,22.0,11.0,blue_collar,12486.876399798693
120,16.0,10.0,schooling,
120,17.0,11.0,schooling,
120,18.0,12.0,schooling,
120,19.0,13.0,schooling,
120,20.0,14.0,schooling,
120,21.0,15.0,schooling,
120,22.0,16.0,blue_collar,30048.691799446176
120,23.0,16.0,white_collar,46540.43762173355
120,24.0,16.0,white_collar,65494.33955568343
120,25.0,16.0,white_collar,60136.55394001018
122,16.0,10.0,schooling,
122,17.0,11.0,schooling,
122,18.0,12.0,blue_collar,15679.292377227548
122,19.0,12.0,blue_collar,
122,20.0,12.0,home,
122,21.0,12.0,blue_collar,15191.127184114177
122,22.0,12.0,blue_collar,20798.88625446255
122,23.0,12.0,blue_collar,32595.015277864
122,24.0,12.0,blue_collar,26909.78706834195
122,25.0,12.0,blue_collar,28181.6802236909
123,16.0,10.0,schooling,
123,17.0,11.0,schooling,
123,18.0,12.0,schooling,
123,19.0,13.0,schooling,
123,20.0,14.0,white_collar,18843.952421451526
123,21.0,14.0,white_collar,18737.26504194337
123,22.0,14.0,blue_collar,
123,23.0,14.0,white_collar,17273.17978994868
123,24.0,14.0,white_collar,17484.588353774772
123,25.0,14.0,white_collar,19721.06829350958
134,16.0,10.0,schooling,
134,17.0,11.0,blue_collar,15413.85624216144
134,18.0,11.0,blue_collar,17331.411750682935
134,19.0,11.0,blue_collar,19005.1432931136
134,20.0,11.0,blue_collar,18020.791387128254
134,21.0,11.0,blue_collar,17198.938288704638
134,22.0,11.0,blue_collar,19971.274256278153
134,23.0,11.0,blue_collar,23554.479185759665
134,24.0,11.0,blue_collar,24919.824842732432
134,25.0,11.0,white_collar,28767.541572252394
134,26.0,11.0,white_collar,28187.680054228098
135,16.0,10.0,schooling,
135,17.0,11.0,schooling,
135,18.0,12.0,home,
135,19.0,12.0,schooling,
135,20.0,13.0,schooling,
135,21.0,14.0,white_collar,20066.866060113498
135,22.0,14.0,blue_collar,21367.869494498995
135,23.0,14.0,blue_collar,23454.19420437214
139,16.0,11.0,schooling,
139,17.0,12.0,home,
139,18.0,12.0,military,9097.069145415726
139,19.0,12.0,schooling,
139,20.0,13.0,schooling,
139,21.0,14.0,white_collar,21011.705657625098
139,22.0,14.0,white_collar,
139,23.0,14.0,blue_collar,11727.09710218607
145,16.0,10.0,schooling,
145,17.0,11.0,home,
145,18.0,11.0,home,
145,19.0,11.0,home,
145,20.0,11.0,home,
145,21.0,11.0,blue_collar,7742.184784137112
145,22.0,11.0,blue_collar,8163.785256882097
145,23.0,11.0,home,
145,24.0,11.0,blue_collar,15109.951354170411
145,25.0,11.0,blue_collar,11719.767666497204
146,16.0,10.0,schooling,
146,17.0,11.0,schooling,
146,18.0,12.0,blue_collar,
146,19.0,12.0,military,8446.880696219741
146,20.0,12.0,military,11555.848240360212
146,21.0,12.0,military,
146,22.0,12.0,military,
146,23.0,12.0,military,17345.650346095194
148,16.0,10.0,schooling,
148,17.0,11.0,schooling,
148,18.0,12.0,blue_collar,15407.033863917744
148,19.0,12.0,blue_collar,17604.7762394101
148,20.0,12.0,blue_collar,15685.65540001334
148,21.0,12.0,blue_collar,17951.55033605847
148,22.0,12.0,blue_collar,
148,23.0,12.0,blue_collar,
148,24.0,12.0,blue_collar,20438.353668869688
155,16.0,9.0,blue_collar,25470.968542887418
155,17.0,9.0,blue_collar,19618.12508546905
155,18.0,9.0,home,
155,19.0,9.0,white_collar,15333.54641000681
155,20.0,9.0,blue_collar,21968.561936089394
