458 52 9 58 1 3 1 14 14 14 14 9 58 51 28 32 12 50 89 86 69080 14 14 -5 -5
458 53 3 63 4 1 1 7 7 7 7 3 63 51 18 26 10 29 38 41 43641 7 7 -4 -4
458 54 6 58 1 3 1 10 10 10 10 6 58 -4 -4 -4 -4 -4 -4 -4 -4 10 10 -4 -5
-5 55 11 58 1 3 1 12 12 -5 -5 -5 -5 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5
-5 56 5 64 5 3 2 8 8 9 9 5 64 51 17 30 12 27 44 56 76020 10 10 -5 -5
458 57 5 58 5 3 2 12 12 12 12 5 58 51 15 28 11 29 38 38 30830 12 12 -4 -4
458 58 1 57 5 3 2 15 15 16 16 1 57 51 26 35 15 49 96 87 91625 16 16 -4 -4
458 59 1 59 1 3 1 12 12 12 12 11 59 51 27 34 15 50 96 97 98841 12 12 -4 -4
-5 60 8 61 1 3 1 10 10 11 11 8 61 51 23 29 15 35 68 75 82980 12 12 -4 -4
458 61 9 62 5 3 2 10 10 11 11 9 62 51 28 35 15 49 99 99 99150 12 12 -4 -4
458 62 7 64 5 3 2 8 8 9 9 7 64 51 12 25 10 32 30 31 36384 10 10 -4 -4
458 63 2 60 1 3 1 12 12 13 13 2 60 51 28 35 13 47 95 91 87934 14 14 -4 -4
-5 64 9 61 1 3 1 11 11 12 12 9 61 51 25 35 14 32 79 88 92989 12 12 -5 -5
-5 65 10 63 5 3 2 9 9 10 10 10 63 51 19 33 12 47 72 71 75171 11 11 -5 -5
458 66 1 64 1 3 1 8 8 9 9 1 64 51 8 23 6 18 14 18 22649 10 10 -4 -4
458 67 1 58 1 3 1 14 14 15 15 1 58 51 30 34 14 50 99 99 93246 16 16 -4 -4
458 68 3 62 5 3 2 10 10 11 11 3 62 51 30 35 15 46 99 99 100000 12 12 -4 -4
458 69 7 64 1 3 1 8 8 9 9 7 64 51 27 29 13 35 72 78 86703 10 10 -4 -4
458 70 3 61 1 3 1 11 11 12 12 3 61 -4 -4 -4 -4 -4 -4 -4 -4 12 12 -4 -4
458 71 5 63 1 3 1 9 9 10 10 5 63 51 30 35 14 49 99 99 98077 11 11 -4 -5
458 72 12 59 5 3 2 13 13 14 14 12 59 51 30 30 13 49 91 84 80538 15 15 -4 -4
458 73 11 63 1 3 1 8 8 9 9 9 63 51 18 34 13 36 64 71 81527 10 10 -4 -4
-5 74 11 59 5 3 2 13 13 13 13 11 59 51 26 35 15 38 88 93 95536 13 13 -4 -4
458 75 3 62 5 3 2 10 10 11 11 3 62 51 16 33 14 41 65 68 83379 12 12 -4 -4
458 76 2 64 1 3 1 8 8 9 9 2 64 51 15 24 9 26 27 31 42780 10 10 -4 -4
458 77 5 64 5 3 2 8 8 9 9 5 64 51 25 30 15 23 60 84 96835 10 10 -4 -4
-5 78 4 57 5 3 2 15 15 16 16 4 57 51 25 35 14 31 78 88 85347 16 16 -4 -4
-5 79 4 60 1 3 1 12 12 13 13 4 60 51 29 34 14 46 97 96 96084 14 14 -4 -4
458 80 6 63 1 3 1 8 8 9 9 6 63 51 24 29 12 32 60 70 78759 10 10 -4 -4
458 81 9 64 1 3 1 7 7 8 8 9 64 51 11 20 10 28 21 21 29497 9 9 -4 -4
-5 82 9 58 3 2 1 12 12 12 12 9 58 51 9 9 3 2 1 2 2168 12 12 -4 -4
458 83 7 60 3 2 1 9 9 9 9 7 60 51 8 10 5 12 4 4 2366 9 9 0 0
458 84 4 63 3 2 1 8 8 9 9 4 63 51 10 13 8 28 13 12 21008 10 10 -4 -4
458 85 6 59 3 2 1 7 7 7 7 6 59 53 6 5 5 4 1 1 2427 7 7 -4 -4
458 86 10 60 7 2 2 8 8 9 9 10 60 51 4 7 5 5 1 3 7198 9 9 -4 -4
458 87 4 63 3 2 1 9 9 10 10 4 63 51 9 5 5 9 2 3 12463 11 11 -4 -4
458 88 4 57 3 2 1 12 12 12 12 4 57 51 28 33 14 40 88 92 80798 16 16 -4 -4
-5 89 3 59 7 2 2 13 13 14 14 3 59 51 24 34 15 40 84 80 84980 15 15 -4 -4
458 90 9 58 1 3 1 14 14 15 15 9 58 51 28 32 13 29 74 89 80298 16 16 -4 -4
458 91 7 63 5 3 2 8 8 9 9 7 63 51 4 18 8 46 19 15 22823 10 10 -4 -4
458 92 8 62 5 3 2 9 9 10 10 8 62 51 10 26 12 34 33 37 44375 11 11 -4 -4
458 93 6 64 1 3 1 7 7 8 8 6 64 51 9 18 9 23 15 18 28438 9 9 -4 -4
458 94 2 57 1 3 1 10 10 10 10 2 57 -4 -4 -4 -4 -4 -4 -4 -4 10 10 -4 -4
458 95 7 60 5 3 2 12 12 12 12 7 60 51 12 20 13 30 27 26 34573 12 12 -4 -4
458 96 6 61 6 3 2 11 11 11 11 6 61 51 14 21 12 41 36 32 36772 12 12 -4 -4
458 97 2 58 5 3 2 12 12 12 12 2 58 51 17 33 14 34 60 65 59411 12 12 -4 -4
458 98 9 57 6 3 2 13 13 13 13 9 57 51 23 32 13 38 72 71 69552 13 13 -4 -4
458 99 9 57 5 3 2 14 14 14 14 -5 -5 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -4 -4
458 100 10 63 5 3 2 8 8 9 9 10 63 51 16 22 10 38 35 29 40421 9 9 -4 -4
-5 101 9 58 1 3 1 14 14 15 15 9 58 51 30 31 14 26 74 93 87368 16 16 -4 -4
458 102 8 64 5 3 2 8 8 9 9 8 64 51 18 22 11 38 40 50 56649 10 10 -4 -4
458 103 5 58 1 3 1 14 14 15 15 5 58 51 26 31 13 27 65 84 76421 15 15 -4 -4
-5 104 6 58 5 3 2 12 12 12 12 6 58 51 13 32 12 27 41 50 48175 12 12 -4 -4
-5 105 9 58 6 3 2 12 12 12 12 9 58 51 28 32 14 48 93 85 81787 12 12 -4 -4
458 106 1 61 1 3 1 11 11 12 12 1 61 51 30 35 12 50 98 94 87651 13 13 -4 -4
458 107 2 62 1 3 1 10 10 11 11 2 62 51 19 31 11 48 67 58 65347 12 12 -4 -4
458 108 7 58 1 3 1 14 14 15 15 7 58 51 30 34 15 47 99 93 96818 16 16 -4 -4
-5 109 4 62 5 3 2 10 10 11 11 4 62 51 13 34 13 28 46 50 57445 12 12 -4 -4
458 110 5 57 1 3 1 12 12 12 12 5 57 51 21 34 13 41 75 75 64697 12 12 -4 -4
458 111 6 59 5 3 2 12 12 12 12 6 59 51 12 31 12 21 33 42 46195 12 12 -4 -4
458 112 9 63 5 3 2 8 8 9 9 9 63 51 10 26 11 29 28 32 39529 10 10 -4 -4
-5 113 1 63 1 3 1 9 9 9 9 1 63 51 24 27 11 41 63 59 64537 10 10 -5 -5
-5 114 1 57 1 3 1 12 12 12 12 1 57 51 28 30 14 33 76 73 75984 12 12 -5 -5
458 115 8 60 5 3 2 12 12 12 12 8 60 51 20 35 13 26 59 80 85492 13 13 -5 -5
-5 116 12 63 5 3 2 8 8 9 9 12 63 51 11 30 12 48 50 55 62654 10 10 -5 -5
458 117 9 59 1 3 1 12 12 13 13 9 59 51 29 35 15 35 92 97 98349 14 14 -4 -4
-5 118 10 61 5 3 2 8 8 9 9 10 61 51 10 25 13 31 31 30 29212 9 9 -4 -4
458 119 5 57 1 3 1 13 13 14 14 5 57 51 7 31 13 20 27 35 27671 15 15 -4 -4
458 120 3 62 1 3 1 10 10 11 11 3 62 51 30 34 13 49 98 97 97847 12 12 -4 -4
458 121 9 64 5 3 2 8 8 9 9 9 64 51 21 34 14 45 81 84 92618 10 10 -4 -4
458 122 11 61 1 3 1 10 10 11 11 11 61 51 21 30 11 41 63 56 52132 12 12 -4 -4
-5 123 7 62 1 3 1 10 10 11 11 7 62 51 27 32 14 46 90 89 92204 12 12 -4 -4
458 124 3 61 5 3 2 10 10 12 12 3 61 51 9 30 11 25 29 36 40114 13 13 -4 -4
-5 125 2 57 1 3 1 13 13 13 13 2 57 51 16 20 9 28 25 33 32107 13 13 -4 -4
458 126 12 58 1 3 1 13 13 14 14 12 58 51 25 30 14 35 72 71 67259 14 14 -4 -4
-5 127 3 60 1 3 1 10 10 10 10 3 60 51 12 29 11 28 34 39 36287 10 10 -4 -4
458 128 7 58 5 3 2 12 12 12 12 7 58 51 27 33 12 50 89 71 59846 12 12 -4 -4
458 129 9 60 1 3 1 11 11 12 12 9 60 51 28 33 14 25 73 92 92817 13 13 -4 -4
-5 130 10 59 6 3 2 12 12 13 13 -5 -5 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5
-5 131 4 60 6 3 2 12 12 12 12 -5 -5 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5
-5 132 9 59 6 3 2 12 12 -5 -5 -5 -5 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5
458 133 12 62 5 3 2 9 9 10 10 12 62 51 14 26 13 47 49 44 57983 11 11 -4 -4
-5 134 6 61 1 3 1 11 11 11 11 6 61 51 20 24 10 39 46 50 47098 11 11 -4 -4
458 135 8 64 1 3 1 8 8 9 9 8 64 51 14 22 12 32 32 29 38315 10 10 -4 -4
458 136 10 57 5 3 2 12 12 12 12 -5 -5 51 7 16 9 25 13 10 5875 -5 -5 3 3
458 137 7 61 5 3 2 11 11 12 12 7 61 51 28 31 13 48 89 87 87283 13 13 -4 -4
458 138 11 62 5 3 2 10 10 11 11 11 62 51 24 30 14 45 79 80 88326 12 12 -4 -4
-5 139 12 63 1 3 1 9 9 10 10 12 63 51 24 31 14 32 69 64 79832 11 11 -4 -5
458 140 9 58 5 3 2 14 14 15 15 9 58 51 19 34 14 32 65 74 72878 16 16 -4 -4
458 141 7 62 5 3 2 10 10 11 11 7 62 51 21 34 14 34 71 81 85861 12 12 -4 -4
-5 142 1 60 1 3 1 12 12 12 12 1 60 -4 -4 -4 -4 -4 -4 -4 -4 12 12 -4 -4
-5 143 6 61 5 3 2 11 11 12 12 6 61 51 20 33 11 40 66 63 59838 12 12 -4 -4
458 144 7 64 5 3 2 8 8 9 9 7 64 51 15 22 7 35 28 29 37874 10 10 -4 -4
-5 145 8 62 1 3 1 10 10 11 11 8 62 51 16 31 12 35 51 52 62607 11 11 -4 -4
458 146 1 64 1 3 1 8 8 9 9 1 64 51 29 32 12 29 74 84 86932 10 10 -4 -4
458 147 6 61 5 3 2 11 11 12 12 6 61 51 10 23 10 44 32 25 22466 13 13 -4 -4
458 148 3 63 1 3 1 9 9 10 10 3 63 51 24 30 13 31 64 65 74997 11 11 -4 -4
458 149 2 64 5 3 2 8 8 9 9 2 64 51 14 22 10 33 30 29 39973 10 10 -4 -4
-5 150 9 59 1 3 1 12 12 12 12 9 59 51 14 31 11 30 42 41 38129 12 12 -4 -4
-5 151 12 57 5 3 2 12 12 12 12 12 57 53 14 24 10 35 34 33 28478 12 12 -4 -4
458 152 10 61 5 3 2 11 11 12 12 10 61 51 30 33 14 42 94 92 93332 12 12 -4 -4
458 153 1 63 5 3 2 9 9 -5 -5 -5 -5 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -4 -4
-5 154 9 64 5 3 2 8 8 -5 -5 -5 -5 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5
-5 155 10 63 1 3 1 9 9 9 9 10 63 51 11 27 10 35 34 35 47003 9 9 -4 -4
458 156 12 57 1 3 1 11 11 -5 -5 12 59 51 11 13 2 20 7 6 4975 11 11 -4 -4
458 157 4 62 5 3 2 10 10 11 11 4 62 51 15 29 7 49 47 47 43873 12 12 -4 -4
458 158 9 58 5 3 2 14 14 15 15 9 58 51 22 35 14 46 86 85 85206 15 15 -4 -4
-5 159 4 60 5 3 2 12 12 13 13 4 60 51 29 33 14 46 95 93 89686 14 14 -4 -4
458 160 2 60 5 3 2 12 12 13 13 2 60 51 28 31 13 43 85 80 77440 13 13 -4 -4
458 161 3 61 5 3 2 10 10 11 11 3 61 51 17 18 14 27 29 31 47296 12 12 -4 -4
-5 162 4 61 1 3 1 11 11 12 12 4 61 51 29 35 14 38 92 98 98253 14 14 -4 -4
-5 163 4 62 1 3 1 10 10 11 11 4 62 51 22 33 14 27 63 77 86427 12 12 -5 -5
458 164 3 60 5 3 2 12 12 12 12 3 60 51 12 22 7 25 20 21 22240 12 12 -4 -4
458 165 10 60 5 3 2 11 11 12 12 10 60 51 16 25 13 45 50 43 46506 12 12 -4 -4
-5 166 2 62 1 3 1 10 10 11 11 2 62 51 21 28 11 46 64 57 58432 12 12 -4 -4
-5 167 2 60 5 3 2 12 12 12 12 2 60 51 9 23 14 34 30 28 33598 12 12 -4 -4
458 168 4 61 3 2 1 10 10 11 11 4 61 51 7 21 11 20 16 21 19981 12 12 -5 -5
458 169 2 63 7 2 2 9 9 10 10 -5 -5 51 9 17 9 29 17 17 18862 -5 -5 -5 -5
-5 170 1 57 5 3 2 14 14 14 14 -5 -5 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 0 0
458 171 1 62 1 3 1 10 10 11 11 1 62 51 27 32 11 48 85 80 82207 12 12 -4 -4
458 172 8 57 6 3 2 9 9 9 9 8 57 51 8 6 3 11 1 1 1230 9 9 -4 -4
-5 173 10 62 1 3 1 9 9 9 9 -5 -5 51 22 29 14 32 60 56 71044 -5 -5 -5 -5
458 174 6 60 8 1 2 12 12 13 13 6 60 51 17 29 12 33 48 57 47279 13 13 -4 -4
458 175 10 57 5 3 2 13 13 -5 -5 10 57 -4 -4 -4 -4 -4 -4 -4 -4 14 14 -4 -4
-5 176 9 59 5 3 2 13 13 14 14 9 59 51 25 34 13 50 89 85 82495 15 15 -4 -5
-5 177 7 60 1 3 1 11 11 11 11 7 60 51 20 30 12 28 49 48 51881 12 12 -4 -5
-5 178 5 58 1 3 1 12 12 12 12 5 58 51 29 31 13 49 91 82 77068 13 13 -4 -4
458 179 8 58 5 3 2 12 12 12 12 8 58 51 16 28 10 35 43 42 30455 12 12 -4 -4
458 180 3 57 5 3 2 14 14 14 14 3 57 51 26 35 14 42 90 84 88334 14 14 -4 -4
458 181 7 58 1 3 1 12 12 -5 -5 -5 -5 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5
458 182 8 64 1 3 1 8 8 -5 -5 -5 -5 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5
-5 183 11 58 5 3 2 12 12 12 12 11 58 51 18 30 12 29 48 57 49623 12 12 -4 -4
458 184 1 61 5 3 2 12 12 12 12 1 61 51 21 28 13 39 60 62 59078 12 12 -4 -4
458 185 10 64 1 3 1 8 8 9 9 10 64 51 15 28 13 21 35 48 77155 10 10 -4 -4
458 186 4 59 5 3 2 13 13 14 14 4 59 51 25 31 15 49 87 78 81515 15 15 -4 -4
-5 187 6 64 1 3 1 7 7 8 8 6 64 51 15 25 12 31 37 42 58788 9 9 -4 -4
458 188 1 59 5 3 2 10 10 10 10 1 59 51 7 22 11 23 18 18 11983 10 10 -4 -4
458 189 6 58 1 3 1 14 14 14 14 6 58 51 24 27 13 29 55 65 59286 14 14 -4 -4
458 190 7 61 5 3 2 10 10 11 11 7 61 51 20 31 13 33 59 73 73636 12 12 -4 -4
458 191 8 63 1 3 1 9 9 10 10 8 63 51 19 31 15 46 74 73 89270 11 11 -4 -4
458 192 6 63 5 3 2 9 9 10 10 6 63 51 20 31 12 41 65 72 80480 11 11 -4 -4
458 193 2 58 1 3 1 14 14 15 15 2 58 51 19 29 11 39 54 65 45527 16 16 -4 -4
-5 194 6 64 1 3 1 8 8 9 9 6 64 51 14 29 12 41 49 53 68738 10 10 -5 -5
458 195 5 59 1 3 1 13 13 14 14 5 59 51 28 33 14 49 94 90 87917 15 15 -4 -4
-5 196 7 64 1 3 1 8 8 9 9 7 64 51 28 31 15 49 93 91 95117 10 10 -4 -4
